,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
598,The Exiled Blade,Jon Courtenay Grimwood,http://ecx.images-amazon.com/images/I/51j6e8816tL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-04-02
599,Promise of Blood,Brian McClellan,http://ecx.images-amazon.com/images/I/51xCqhR3NXL.jpg,Orbit (US),$23.99,545,NOVEL,hc,2013-04-16
600,Promise of Blood,Brian McClellan,http://ecx.images-amazon.com/images/I/51ytp7qbd7L.jpg,Orbit (US),$10.99,,NOVEL,ebook,2013-04-16
601,Hot Blooded,Amanda Carlson,http://ecx.images-amazon.com/images/I/51OkHpxuVHL.jpg,Orbit (US),$13.99,310,NOVEL,tp,2013-04-23
602,Hot Blooded,Amanda Carlson,http://ecx.images-amazon.com/images/I/51JsWdYg-HL.jpg,Orbit (US),$8.99,,NOVEL,ebook,2013-04-23
603,The Red Plague Affair,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51uFYeTSppL.jpg,Orbit (US),$14.00,311,NOVEL,tp,2013-05-00
604,The Belly of the Bow,K. J. Parker,http://ecx.images-amazon.com/images/I/4123xjk50sL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-05-07
605,Colours in the Steel,K. J. Parker,http://ecx.images-amazon.com/images/I/51BWow%2BH8GL.jpg,Orbit (US),$2.99,,NOVEL,ebook,2013-05-07
606,Memory,K. J. Parker,http://ecx.images-amazon.com/images/I/51cNNFhyhlL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-05-07
607,Pattern,K. J. Parker,http://ecx.images-amazon.com/images/I/51SPsIkMFRL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-05-07
608,The Proof House,K. J. Parker,http://ecx.images-amazon.com/images/I/51cUVnt5jCL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-05-07
