,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
1018,After the Crown,K. B. Wagers,9780316308632,15.99,389,NOVEL,tp,2016-12-13,Orbit (US),http://ecx.images-amazon.com/images/I/51q4vtn3OHL.jpg,136150.0,2016
1019,After the Crown,K. B. Wagers,9780316308625,9.99,,NOVEL,ebook,2016-12-13,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51W7G%2BxoZWL.jpg,136150.0,2016
1020,Take Back the Sky,Greg Bear,9780316223973,26.0,296,NOVEL,hc,2016-12-20,Orbit (US),http://ecx.images-amazon.com/images/I/51b4IHt1ndL.jpg,103600.0,2016
1021,Take Back the Sky,Greg Bear,9780316223966,13.99,,NOVEL,ebook,2016-12-20,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/519zto3R%2BKL.jpg,103600.0,2016
1022,Take Back the Sky,Greg Bear,9780316223959,15.99,296,NOVEL,tp,2017-05-09,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51FLS%2Bwr8%2BL.jpg,103600.0,2017
1023,The Dreamblood Duology,N. K. Jemisin,9780316333955,19.99,941,OMNIBUS,tp,2016-12-20,Orbit (US),http://ecx.images-amazon.com/images/I/61qRSZ5X0UL.jpg,329350.0,2016
1024,The Dreamblood Duology,N. K. Jemisin,9780316333962,12.99,,OMNIBUS,ebook,2016-12-20,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/614vnqPE5zL.jpg,329350.0,2016
1025,Insurgence,Ken MacLeod,9780316363693,9.99,331,NOVEL,tp,2016-12-20,Orbit (US),http://www.isfdb.org/wiki/images/f/ff/THCRPRTNWC2016.jpg,115850.0,2016
1026,Insurgence,Ken MacLeod,9780316363709,9.99,,NOVEL,ebook,2016-12-20,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51tyafDCW%2BL.jpg,115850.0,2016
1027,Rise Rise: A Newsflesh Collection,Mira Grant,9780316309530,9.99,816,COLLECTION,tp,2017-01-31,Orbit (US),http://ecx.images-amazon.com/images/I/51lKZhGlI7L.jpg,285600.0,2017
1028,Six Wakes,Mur Lafferty,9780316389686,15.99,361,NOVEL,tp,2017-01-31,Orbit (US),http://ecx.images-amazon.com/images/I/51OAiRVNgKL.jpg,126350.0,2017
1029,Six Wakes,Mur Lafferty,9780316389662,9.99,,NOVEL,ebook,2017-01-31,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51KTW6wK-HL.jpg,126350.0,2017
1030,Winter of the Gods,Jordanna Max Brodsky,9780316385916,26.0,463,NOVEL,hc,2017-02-14,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51QekiNRd3L.jpg,162050.0,2017
